API#,Operator,Operator ID,WellType,WellName,WellNumber,Order/Permit,Approval Date,County,Sec,Twp,Rng,Q4,Q3,Q2,Q1,LAT,LONG,PSI,BBLS,GAS,MCF,ZONE
3500300026,PHOENIX PETROCORP INC,19499,2R,SE EUREKA UNIT,21,133856,1977-09-06T00:00:00Z,ALFALFA,13,28N,10W,NA,C,SE,SE,36.900324,-98.21826,2500,300,NA,NA,BASAL PENN
3500300163,SUPERIOR PRODUCTION LLC,23840,2R,CHRISTENSEN,1,470258,2002-11-27T00:00:00Z,ALFALFA,21,28N,09W,NA,C,NW,NW,36.896636,-98.17772,2400,1000,NA,NA,BASAL PENN
3500321074,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,VELMA,2-19,281652,1985-07-11T00:00:00Z,ALFALFA,19,28N,10W,C,SW,NE,SW,36.888589,-98.31853,3152,1000,NA,NA,RED FORK
3500321107,SUPERIOR PRODUCTION LLC,23840,2R,GRAY,1A,470257,2002-11-27T00:00:00Z,ALFALFA,20,28N,09W,NA,SE,SW,NW,36.892128,-98.19462,1000,2400,NA,NA,RED FORK
3500321242,SUPERIOR PRODUCTION LLC,23840,2R,NORTH CARMEN RED FORK UNIT,8,405305,1996-09-17T00:00:00Z,ALFALFA,3,24N,12W,NA,E2,NE,NE,36.591824,-98.46356,750,2000,NA,NA,RED FORK
3500321328,PRIDE ENERGY COMPANY,19430,2D,LESLIE,A-1,1006450004,2010-05-06T00:00:00Z,ALFALFA,5,25N,12W,S2,S2,SE,NW,36.674104,-98.51565,1280,2000,NA,NA,PERMIAN
3500321404,SUPERIOR PRODUCTION LLC,23840,2R,NORTH CARMEN RED FORK UNIT,1,423456,1998-05-27T00:00:00Z,ALFALFA,34,25N,12W,NA,NE,SW,SW,36.59666,-98.48296,3500,750,NA,NA,RED FORK (CHEROKEE)
3500321455,KIESTER OPERATING COMPANY,6999,2R,MEANS 'C',1-24,521622,2006-03-13T00:00:00Z,ALFALFA,24,25N,12W,NA,NA,C,SE,36.626608,-98.43679,500,1200,NA,NA,RED FORK
3500321496,KIESTER OPERATING COMPANY,6999,2R,LSB MCCRADY,4,521370,2006-03-08T00:00:00Z,ALFALFA,18,25N,11W,C,SW,SE,NW,36.645656,-98.42664,500,1200,NA,NA,RED FORK
3500321537,C & D SUPPLY LLC,23178,2D,REITZ,1,383569,1994-05-23T00:00:00Z,ALFALFA,10,27N,11W,NA,C,SE,NE,36.835111,-98.36245,1000,300,NA,NA,MISSISSIPPI
3500321553,UNIT PETROLEUM COMPANY,16711,2R,DORTHY,1,385383,1994-08-10T00:00:00Z,ALFALFA,17,27N,10W,W2,NE,NE,NW,36.825141,-98.29881,1250,4500,NA,NA,MISENER
